date,1. open,2. high,3. low,4. close,5. volume
2025-03-28 14:54:00,378.29,378.3,378.2,378.22,27311.0
2025-03-28 14:53:00,378.2801,378.37,378.22,378.29,53566.0
2025-03-28 14:52:00,378.23,378.4,378.14,378.305,62767.0
2025-03-28 14:51:00,378.27,378.4599,378.235,378.26,54834.0
2025-03-28 14:50:00,378.22,378.365,378.21,378.275,38892.0
2025-03-28 14:49:00,378.25,378.34,378.22,378.24,32761.0
2025-03-28 14:48:00,378.36,378.4254,378.27,378.275,28119.0
2025-03-28 14:47:00,378.43,378.5,378.355,378.355,34480.0
2025-03-28 14:46:00,378.36,378.44,378.32,378.435,16384.0
2025-03-28 14:45:00,378.46,378.59,378.36,378.36,72931.0
2025-03-28 14:44:00,378.95,379.04,378.46,378.46,121057.0
2025-03-28 14:43:00,378.95,379.02,378.92,378.965,19938.0
2025-03-28 14:42:00,378.855,379.0,378.855,379.0,16112.0
2025-03-28 14:41:00,378.98,378.98,378.83,378.83,14681.0
2025-03-28 14:40:00,378.86,378.96,378.83,378.95,20794.0
2025-03-28 14:39:00,379.02,379.055,378.8,378.84,21063.0
2025-03-28 14:38:00,379.02,379.04,378.916,379.025,31361.0
2025-03-28 14:37:00,379.08,379.1,378.9941,379.0287,22153.0
2025-03-28 14:36:00,379.2,379.2,379.01,379.1,21998.0
2025-03-28 14:35:00,379.3954,379.44,379.17,379.25,16481.0
2025-03-28 14:34:00,379.22,379.405,379.21,379.4,15452.0
2025-03-28 14:33:00,379.47,379.47,379.235,379.24,16274.0
2025-03-28 14:32:00,379.42,379.63,379.42,379.5,24772.0
2025-03-28 14:31:00,379.43,379.5402,379.32,379.44,21071.0
2025-03-28 14:30:00,379.34,379.43,379.26,379.42,51998.0
2025-03-28 14:29:00,379.5,379.6194,379.33,379.37,25577.0
2025-03-28 14:28:00,379.365,379.5435,379.34,379.52,39731.0
2025-03-28 14:27:00,379.33,379.46,379.3032,379.36,53324.0
2025-03-28 14:26:00,379.14,379.3734,379.13,379.33,18199.0
2025-03-28 14:25:00,379.24,379.28,379.16,379.16,19196.0
2025-03-28 14:24:00,379.28,379.315,379.208,379.245,19955.0
2025-03-28 14:23:00,379.51,379.53,379.245,379.26,25401.0
2025-03-28 14:22:00,379.275,379.535,379.275,379.535,35592.0
2025-03-28 14:21:00,379.51,379.51,379.275,379.275,22386.0
2025-03-28 14:20:00,379.5,379.54,379.42,379.505,16799.0
2025-03-28 14:19:00,379.25,379.53,379.22,379.515,36976.0
2025-03-28 14:18:00,379.43,379.46,379.196,379.26,27225.0
2025-03-28 14:17:00,379.14,379.4515,379.02,379.425,31667.0
2025-03-28 14:16:00,379.35,379.3809,379.13,379.145,26589.0
2025-03-28 14:15:00,379.34,379.575,379.25,379.385,36585.0
2025-03-28 14:14:00,379.33,379.34,379.16,379.34,26837.0
2025-03-28 14:13:00,379.29,379.43,379.24,379.325,24967.0
2025-03-28 14:12:00,379.505,379.505,379.29,379.32,52803.0
2025-03-28 14:11:00,379.08,379.43,379.08,379.42,39625.0
2025-03-28 14:10:00,379.09,379.23,379.02,379.07,34200.0
2025-03-28 14:09:00,378.945,379.09,378.9274,379.07,36603.0
2025-03-28 14:08:00,378.91,378.9999,378.76,378.95,45809.0
2025-03-28 14:07:00,378.705,378.93,378.69,378.91,21673.0
2025-03-28 14:06:00,378.74,378.84,378.67,378.67,23760.0
2025-03-28 14:05:00,378.56,378.77,378.53,378.75,20619.0
2025-03-28 14:04:00,378.52,378.675,378.38,378.54,46366.0
2025-03-28 14:03:00,378.585,378.59,378.47,378.515,10387.0
2025-03-28 14:02:00,378.57,378.61,378.4001,378.55,32521.0
2025-03-28 14:01:00,378.65,378.7405,378.485,378.53,25180.0
2025-03-28 14:00:00,378.58,378.73,378.515,378.67,29659.0
2025-03-28 13:59:00,378.41,378.64,378.38,378.6,36404.0
2025-03-28 13:58:00,378.43,378.48,378.3,378.42,35019.0
2025-03-28 13:57:00,378.13,378.4573,378.13,378.44,18060.0
2025-03-28 13:56:00,377.99,378.135,377.94,378.13,31495.0
2025-03-28 13:55:00,378.04,378.06,377.97,378.015,20891.0
2025-03-28 13:54:00,378.01,378.1147,377.97,378.02,16384.0
2025-03-28 13:53:00,378.0461,378.1,377.97,378.025,17301.0
2025-03-28 13:52:00,378.045,378.0965,378.0,378.025,12224.0
2025-03-28 13:51:00,378.22,378.24,378.04,378.05,12339.0
2025-03-28 13:50:00,378.17,378.28,378.05,378.2,19995.0
2025-03-28 13:49:00,378.345,378.365,378.0,378.13,37759.0
2025-03-28 13:48:00,378.38,378.52,378.29,378.35,20288.0
2025-03-28 13:47:00,378.23,378.4,378.17,378.38,22608.0
2025-03-28 13:46:00,378.195,378.32,378.165,378.2599,14361.0
2025-03-28 13:45:00,378.21,378.23,378.11,378.15,31886.0
2025-03-28 13:44:00,378.5,378.5,378.2183,378.27,20560.0
2025-03-28 13:43:00,378.64,378.64,378.29,378.52,40581.0
2025-03-28 13:42:00,378.445,378.615,378.41,378.615,22012.0
2025-03-28 13:41:00,378.16,378.51,378.1571,378.472,26542.0
2025-03-28 13:40:00,378.31,378.385,378.14,378.21,18988.0
2025-03-28 13:39:00,378.02,378.35,378.02,378.3282,31677.0
2025-03-28 13:38:00,377.99,378.08,377.882,378.05,39295.0
2025-03-28 13:37:00,377.89,378.075,377.8843,377.99,28696.0
2025-03-28 13:36:00,377.89,377.9085,377.76,377.885,15377.0
2025-03-28 13:35:00,377.715,377.89,377.575,377.89,25037.0
2025-03-28 13:34:00,377.47,377.7299,377.4201,377.7299,25700.0
